"LON" "LAT" "PARAMETER" "JAN" "FEB" "MAR" "APR" "MAY" "JUN" "JUL" "AUG" "SEP" "OCT" "NOV" "DEC" "ANN"
"1" -49.19999 -18.49999 "T2M" 24.25 24.26 24.01 23.29 21.3 20.32 20.93 23.31 25.97 26.72 25.54 24.59 23.71
"2" -49.19999 -18.49999 "PRECTOT" 7.87 6.59 6.14 2.48 1.02 0.45 0.18 0.51 1.66 3.24 5.71 7.76 3.63
"3" -49.19999 -18.49999 "WS10M" 2.72 2.48 2.52 2.76 2.91 3.23 3.72 4.05 3.93 3.28 2.89 2.82 3.11
"4" -48.19999 -18.49999 "T2M" 23.66 23.68 23.38 22.53 20.52 19.22 19.62 21.72 24.49 25.43 24.47 23.87 22.72
"5" -48.19999 -18.49999 "PRECTOT" 8.23 6.71 6.35 2.38 1.03 0.41 0.21 0.53 1.6 3.4 6.01 8.51 3.78
"6" -48.19999 -18.49999 "WS10M" 3 2.78 2.83 3.03 3.09 3.38 3.83 4.13 4.04 3.49 3.15 3.05 3.32
"7" -50.19999 -18.99999 "T2M" 25.18 25.08 24.8 24.08 22 21.32 21.88 24.37 26.75 27.64 26.61 25.61 24.61
"8" -50.19999 -18.99999 "PRECTOT" 8.05 6.75 5.84 2.45 1.08 0.57 0.25 0.52 2.08 3.64 5.96 7.29 3.71
"9" -50.19999 -18.99999 "WS10M" 2.61 2.36 2.39 2.58 2.78 2.97 3.45 3.69 3.68 3.13 2.82 2.77 2.94
"10" -49.69999 -18.99999 "T2M" 24.9 24.85 24.56 23.84 21.77 20.99 21.56 23.99 26.48 27.36 26.3 25.3 24.33
"11" -49.69999 -18.99999 "PRECTOT" 8.06 6.72 5.83 2.44 1.05 0.54 0.23 0.52 1.85 3.42 5.74 7.41 3.65
"12" -49.69999 -18.99999 "WS10M" 2.69 2.44 2.49 2.71 2.93 3.19 3.69 3.97 3.9 3.29 2.91 2.84 3.09
"13" -49.19999 -18.99999 "T2M" 24.32 24.31 24.01 23.26 21.13 20.15 20.64 22.93 25.56 26.51 25.53 24.65 23.58
"14" -49.19999 -18.99999 "PRECTOT" 8.14 6.75 5.9 2.46 1.05 0.49 0.22 0.53 1.58 3.19 5.49 7.66 3.62
"15" -49.19999 -18.99999 "WS10M" 2.87 2.61 2.67 2.9 3.08 3.41 3.93 4.22 4.13 3.48 3.08 2.98 3.28
"16" -48.69999 -18.99999 "T2M" 23.74 23.76 23.43 22.59 20.38 19.13 19.35 21.37 24.08 25.25 24.52 23.94 22.63
"17" -48.69999 -18.99999 "PRECTOT" 8.23 6.86 5.99 2.54 1.08 0.49 0.22 0.54 1.58 3.23 5.51 7.79 3.67
"18" -48.69999 -18.99999 "WS10M" 3.11 2.84 2.89 3.07 3.19 3.46 3.93 4.19 4.13 3.59 3.26 3.17 3.4
"19" -48.19999 -18.99999 "T2M" 23.32 23.34 23.01 22.13 19.95 18.6 18.77 20.69 23.41 24.59 23.91 23.46 22.1
"20" -48.19999 -18.99999 "PRECTOT" 8.55 6.94 6.31 2.53 1.17 0.44 0.24 0.54 1.62 3.49 5.83 8.42 3.84
"21" -48.19999 -18.99999 "WS10M" 3.09 2.84 2.9 3.07 3.14 3.38 3.82 4.06 4.01 3.53 3.22 3.13 3.35
"22" -47.69999 -18.99999 "T2M" 22.88 22.87 22.53 21.62 19.5 18.1 18.25 20.14 22.88 24.06 23.39 23 21.6
"23" -47.69999 -18.99999 "PRECTOT" 8.6 6.95 6.4 2.51 1.19 0.42 0.25 0.54 1.63 3.59 5.98 8.64 3.89
"24" -47.69999 -18.99999 "WS10M" 3.14 2.9 2.97 3.09 3.13 3.33 3.74 3.96 3.97 3.55 3.29 3.19 3.36
"25" -46.69999 -18.99999 "T2M" 22.14 22.1 21.72 20.76 18.76 17.44 17.61 19.5 22.18 23.41 22.68 22.27 20.88
