"LON" "LAT" "PARAMETER" "JAN" "FEB" "MAR" "APR" "MAY" "JUN" "JUL" "AUG" "SEP" "OCT" "NOV" "DEC" "ANN"
"1" -48.53905 -19.10685 "T2M" 23.69 23.68 23.32 22.44 20.1 18.94 19.1 21.2 23.86 25.12 24.44 23.88 22.48
"2" -48.53905 -19.10685 "PRECTOT" 8.75 7.28 5.96 2.64 1.17 0.53 0.28 0.57 1.59 3.21 5.38 7.75 3.76
"3" -48.53905 -19.10685 "WS10M" 3.11 2.78 2.82 2.95 3.06 3.35 3.81 4.04 4.03 3.54 3.26 3.19 3.33
"4" -49.01429 -19.02091 "T2M" 24.3 24.25 23.91 23.06 20.69 19.65 19.95 22.21 24.88 26.09 25.32 24.59 23.24
"5" -49.01429 -19.02091 "PRECTOT" 8.65 7.16 5.86 2.58 1.15 0.54 0.28 0.57 1.62 3.16 5.34 7.64 3.71
"6" -49.01429 -19.02091 "WS10M" 2.92 2.62 2.67 2.83 2.99 3.28 3.76 3.99 3.99 3.44 3.13 3.04 3.22
"7" -49.00459 -19.0196 "T2M" 24.3 24.25 23.91 23.06 20.69 19.65 19.95 22.21 24.88 26.09 25.32 24.59 23.24
"8" -49.00459 -19.0196 "PRECTOT" 8.65 7.16 5.86 2.58 1.15 0.54 0.28 0.57 1.62 3.16 5.34 7.64 3.71
"9" -49.00459 -19.0196 "WS10M" 2.92 2.62 2.67 2.83 2.99 3.28 3.76 3.99 3.99 3.44 3.13 3.04 3.22
"10" -48.96119 -19.01282 "T2M" 23.69 23.68 23.32 22.44 20.1 18.94 19.1 21.2 23.86 25.12 24.44 23.88 22.48
"11" -48.96119 -19.01282 "PRECTOT" 8.75 7.28 5.96 2.64 1.17 0.53 0.28 0.57 1.59 3.21 5.38 7.75 3.76
"12" -48.96119 -19.01282 "WS10M" 3.11 2.78 2.82 2.95 3.06 3.35 3.81 4.04 4.03 3.54 3.26 3.19 3.33
"13" -48.94589 -19.0101 "T2M" 23.69 23.68 23.32 22.44 20.1 18.94 19.1 21.2 23.86 25.12 24.44 23.88 22.48
"14" -48.94589 -19.0101 "PRECTOT" 8.75 7.28 5.96 2.64 1.17 0.53 0.28 0.57 1.59 3.21 5.38 7.75 3.76
"15" -48.94589 -19.0101 "WS10M" 3.11 2.78 2.82 2.95 3.06 3.35 3.81 4.04 4.03 3.54 3.26 3.19 3.33
"16" -49.02359 -18.9796 "T2M" 24.32 24.31 24.01 23.26 21.13 20.15 20.64 22.93 25.56 26.51 25.53 24.65 23.58
"17" -49.02359 -18.9796 "PRECTOT" 8.14 6.75 5.9 2.46 1.05 0.49 0.22 0.53 1.58 3.19 5.49 7.66 3.62
"18" -49.02359 -18.9796 "WS10M" 2.87 2.61 2.67 2.9 3.08 3.41 3.93 4.22 4.13 3.48 3.08 2.98 3.28
"19" -48.83693 -18.9711 "T2M" 23.74 23.76 23.43 22.59 20.38 19.13 19.35 21.37 24.08 25.25 24.52 23.94 22.63
"20" -48.83693 -18.9711 "PRECTOT" 8.23 6.86 5.99 2.54 1.08 0.49 0.22 0.54 1.58 3.23 5.51 7.79 3.67
"21" -48.83693 -18.9711 "WS10M" 3.11 2.84 2.89 3.07 3.19 3.46 3.93 4.19 4.13 3.59 3.26 3.17 3.4
"22" -48.71971 -18.96029 "T2M" 23.74 23.76 23.43 22.59 20.38 19.13 19.35 21.37 24.08 25.25 24.52 23.94 22.63
"23" -48.71971 -18.96029 "PRECTOT" 8.23 6.86 5.99 2.54 1.08 0.49 0.22 0.54 1.58 3.23 5.51 7.79 3.67
"24" -48.71971 -18.96029 "WS10M" 3.11 2.84 2.89 3.07 3.19 3.46 3.93 4.19 4.13 3.59 3.26 3.17 3.4
"25" -48.79039 -18.93646 "T2M" 23.74 23.76 23.43 22.59 20.38 19.13 19.35 21.37 24.08 25.25 24.52 23.94 22.63
"26" -48.79039 -18.93646 "PRECTOT" 8.23 6.86 5.99 2.54 1.08 0.49 0.22 0.54 1.58 3.23 5.51 7.79 3.67
"27" -48.79039 -18.93646 "WS10M" 3.11 2.84 2.89 3.07 3.19 3.46 3.93 4.19 4.13 3.59 3.26 3.17 3.4
"28" -49.07129 -18.9241 "T2M" 24.32 24.31 24.01 23.26 21.13 20.15 20.64 22.93 25.56 26.51 25.53 24.65 23.58
"29" -49.07129 -18.9241 "PRECTOT" 8.14 6.75 5.9 2.46 1.05 0.49 0.22 0.53 1.58 3.19 5.49 7.66 3.62
"30" -49.07129 -18.9241 "WS10M" 2.87 2.61 2.67 2.9 3.08 3.41 3.93 4.22 4.13 3.48 3.08 2.98 3.28
"31" -48.96219 -18.92249 "T2M" 23.74 23.76 23.43 22.59 20.38 19.13 19.35 21.37 24.08 25.25 24.52 23.94 22.63
"32" -48.96219 -18.92249 "PRECTOT" 8.23 6.86 5.99 2.54 1.08 0.49 0.22 0.54 1.58 3.23 5.51 7.79 3.67
"33" -48.96219 -18.92249 "WS10M" 3.11 2.84 2.89 3.07 3.19 3.46 3.93 4.19 4.13 3.59 3.26 3.17 3.4
"34" -48.96449 -18.8878 "T2M" 23.74 23.76 23.43 22.59 20.38 19.13 19.35 21.37 24.08 25.25 24.52 23.94 22.63
"35" -48.96449 -18.8878 "PRECTOT" 8.23 6.86 5.99 2.54 1.08 0.49 0.22 0.54 1.58 3.23 5.51 7.79 3.67
"36" -48.96449 -18.8878 "WS10M" 3.11 2.84 2.89 3.07 3.19 3.46 3.93 4.19 4.13 3.59 3.26 3.17 3.4
"37" -49.00529 -18.88702 "T2M" 24.32 24.31 24.01 23.26 21.13 20.15 20.64 22.93 25.56 26.51 25.53 24.65 23.58
"38" -49.00529 -18.88702 "PRECTOT" 8.14 6.75 5.9 2.46 1.05 0.49 0.22 0.53 1.58 3.19 5.49 7.66 3.62
"39" -49.00529 -18.88702 "WS10M" 2.87 2.61 2.67 2.9 3.08 3.41 3.93 4.22 4.13 3.48 3.08 2.98 3.28
"40" -48.96539 -18.88616 "T2M" 23.74 23.76 23.43 22.59 20.38 19.13 19.35 21.37 24.08 25.25 24.52 23.94 22.63
"41" -48.96539 -18.88616 "PRECTOT" 8.23 6.86 5.99 2.54 1.08 0.49 0.22 0.54 1.58 3.23 5.51 7.79 3.67
"42" -48.96539 -18.88616 "WS10M" 3.11 2.84 2.89 3.07 3.19 3.46 3.93 4.19 4.13 3.59 3.26 3.17 3.4
"43" -49.07129 -18.88146 "T2M" 24.32 24.31 24.01 23.26 21.13 20.15 20.64 22.93 25.56 26.51 25.53 24.65 23.58
"44" -49.07129 -18.88146 "PRECTOT" 8.14 6.75 5.9 2.46 1.05 0.49 0.22 0.53 1.58 3.19 5.49 7.66 3.62
"45" -49.07129 -18.88146 "WS10M" 2.87 2.61 2.67 2.9 3.08 3.41 3.93 4.22 4.13 3.48 3.08 2.98 3.28
"46" -49.00559 -18.87939 "T2M" 24.32 24.31 24.01 23.26 21.13 20.15 20.64 22.93 25.56 26.51 25.53 24.65 23.58
"47" -49.00559 -18.87939 "PRECTOT" 8.14 6.75 5.9 2.46 1.05 0.49 0.22 0.53 1.58 3.19 5.49 7.66 3.62
"48" -49.00559 -18.87939 "WS10M" 2.87 2.61 2.67 2.9 3.08 3.41 3.93 4.22 4.13 3.48 3.08 2.98 3.28
"49" -49.00559 -18.87939 "T2M" 24.32 24.31 24.01 23.26 21.13 20.15 20.64 22.93 25.56 26.51 25.53 24.65 23.58
"50" -49.00559 -18.87939 "PRECTOT" 8.14 6.75 5.9 2.46 1.05 0.49 0.22 0.53 1.58 3.19 5.49 7.66 3.62
"51" -49.00559 -18.87939 "WS10M" 2.87 2.61 2.67 2.9 3.08 3.41 3.93 4.22 4.13 3.48 3.08 2.98 3.28
"52" -48.99979 -18.87732 "T2M" 23.74 23.76 23.43 22.59 20.38 19.13 19.35 21.37 24.08 25.25 24.52 23.94 22.63
"53" -48.99979 -18.87732 "PRECTOT" 8.23 6.86 5.99 2.54 1.08 0.49 0.22 0.54 1.58 3.23 5.51 7.79 3.67
"54" -48.99979 -18.87732 "WS10M" 3.11 2.84 2.89 3.07 3.19 3.46 3.93 4.19 4.13 3.59 3.26 3.17 3.4
"55" -48.91939 -18.87639 "T2M" 23.74 23.76 23.43 22.59 20.38 19.13 19.35 21.37 24.08 25.25 24.52 23.94 22.63
"56" -48.91939 -18.87639 "PRECTOT" 8.23 6.86 5.99 2.54 1.08 0.49 0.22 0.54 1.58 3.23 5.51 7.79 3.67
"57" -48.91939 -18.87639 "WS10M" 3.11 2.84 2.89 3.07 3.19 3.46 3.93 4.19 4.13 3.59 3.26 3.17 3.4
"58" -48.90239 -18.8758 "T2M" 23.74 23.76 23.43 22.59 20.38 19.13 19.35 21.37 24.08 25.25 24.52 23.94 22.63
"59" -48.90239 -18.8758 "PRECTOT" 8.23 6.86 5.99 2.54 1.08 0.49 0.22 0.54 1.58 3.23 5.51 7.79 3.67
"60" -48.90239 -18.8758 "WS10M" 3.11 2.84 2.89 3.07 3.19 3.46 3.93 4.19 4.13 3.59 3.26 3.17 3.4
"61" -49.11479 -18.87538 "T2M" 24.32 24.31 24.01 23.26 21.13 20.15 20.64 22.93 25.56 26.51 25.53 24.65 23.58
"62" -49.11479 -18.87538 "PRECTOT" 8.14 6.75 5.9 2.46 1.05 0.49 0.22 0.53 1.58 3.19 5.49 7.66 3.62
"63" -49.11479 -18.87538 "WS10M" 2.87 2.61 2.67 2.9 3.08 3.41 3.93 4.22 4.13 3.48 3.08 2.98 3.28
"64" -48.99979 -18.86752 "T2M" 23.74 23.76 23.43 22.59 20.38 19.13 19.35 21.37 24.08 25.25 24.52 23.94 22.63
"65" -48.99979 -18.86752 "PRECTOT" 8.23 6.86 5.99 2.54 1.08 0.49 0.22 0.54 1.58 3.23 5.51 7.79 3.67
"66" -48.99979 -18.86752 "WS10M" 3.11 2.84 2.89 3.07 3.19 3.46 3.93 4.19 4.13 3.59 3.26 3.17 3.4
"67" -48.99969 -18.86749 "T2M" 23.74 23.76 23.43 22.59 20.38 19.13 19.35 21.37 24.08 25.25 24.52 23.94 22.63
"68" -48.99969 -18.86749 "PRECTOT" 8.23 6.86 5.99 2.54 1.08 0.49 0.22 0.54 1.58 3.23 5.51 7.79 3.67
"69" -48.99969 -18.86749 "WS10M" 3.11 2.84 2.89 3.07 3.19 3.46 3.93 4.19 4.13 3.59 3.26 3.17 3.4
"70" -49.09059 -18.84768 "T2M" 24.32 24.31 24.01 23.26 21.13 20.15 20.64 22.93 25.56 26.51 25.53 24.65 23.58
"71" -49.09059 -18.84768 "PRECTOT" 8.14 6.75 5.9 2.46 1.05 0.49 0.22 0.53 1.58 3.19 5.49 7.66 3.62
"72" -49.09059 -18.84768 "WS10M" 2.87 2.61 2.67 2.9 3.08 3.41 3.93 4.22 4.13 3.48 3.08 2.98 3.28
"73" -49.00589 -18.81991 "T2M" 24.32 24.31 24.01 23.26 21.13 20.15 20.64 22.93 25.56 26.51 25.53 24.65 23.58
"74" -49.00589 -18.81991 "PRECTOT" 8.14 6.75 5.9 2.46 1.05 0.49 0.22 0.53 1.58 3.19 5.49 7.66 3.62
"75" -49.00589 -18.81991 "WS10M" 2.87 2.61 2.67 2.9 3.08 3.41 3.93 4.22 4.13 3.48 3.08 2.98 3.28
"76" -49.08559 -18.81991 "T2M" 24.32 24.31 24.01 23.26 21.13 20.15 20.64 22.93 25.56 26.51 25.53 24.65 23.58
"77" -49.08559 -18.81991 "PRECTOT" 8.14 6.75 5.9 2.46 1.05 0.49 0.22 0.53 1.58 3.19 5.49 7.66 3.62
"78" -49.08559 -18.81991 "WS10M" 2.87 2.61 2.67 2.9 3.08 3.41 3.93 4.22 4.13 3.48 3.08 2.98 3.28
"79" -49.07209 -18.80388 "T2M" 24.32 24.31 24.01 23.26 21.13 20.15 20.64 22.93 25.56 26.51 25.53 24.65 23.58
"80" -49.07209 -18.80388 "PRECTOT" 8.14 6.75 5.9 2.46 1.05 0.49 0.22 0.53 1.58 3.19 5.49 7.66 3.62
"81" -49.07209 -18.80388 "WS10M" 2.87 2.61 2.67 2.9 3.08 3.41 3.93 4.22 4.13 3.48 3.08 2.98 3.28
"82" -48.95509 -18.77335 "T2M" 23.74 23.76 23.43 22.59 20.38 19.13 19.35 21.37 24.08 25.25 24.52 23.94 22.63
"83" -48.95509 -18.77335 "PRECTOT" 8.23 6.86 5.99 2.54 1.08 0.49 0.22 0.54 1.58 3.23 5.51 7.79 3.67
"84" -48.95509 -18.77335 "WS10M" 3.11 2.84 2.89 3.07 3.19 3.46 3.93 4.19 4.13 3.59 3.26 3.17 3.4
"85" -48.95729 -18.7621 "T2M" 23.74 23.76 23.43 22.59 20.38 19.13 19.35 21.37 24.08 25.25 24.52 23.94 22.63
"86" -48.95729 -18.7621 "PRECTOT" 8.23 6.86 5.99 2.54 1.08 0.49 0.22 0.54 1.58 3.23 5.51 7.79 3.67
"87" -48.95729 -18.7621 "WS10M" 3.11 2.84 2.89 3.07 3.19 3.46 3.93 4.19 4.13 3.59 3.26 3.17 3.4
"88" -49.05229 -18.74085 "T2M" 24.32 24.31 24.01 23.26 21.13 20.15 20.64 22.93 25.56 26.51 25.53 24.65 23.58
"89" -49.05229 -18.74085 "PRECTOT" 8.14 6.75 5.9 2.46 1.05 0.49 0.22 0.53 1.58 3.19 5.49 7.66 3.62
