-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/ 0.5 x 0.5 Degree Climatologies 
22-year Additional Solar Parameter Monthly & Annual Climatologies (July 1983 - June 2005), 30-year Meteorological and Solar Monthly & Annual Climatologies (January 1984 - December 2013) 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
LAT,LON,PARAMETER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
-22.75,-50.75,T2M,   25.31,   24.94,   24.37,   22.86,   19.54,   18.01,   17.94,   20.07,   22.26,   24.25,   25.07,   25.65,   22.52
-22.75,-50.75,WS10M,    2.99,    2.75,    2.94,    3.12,    3.18,    3.21,    3.62,    3.87,    4.21,    3.86,    3.66,    3.20,    3.38
-22.75,-50.25,T2M,   24.96,   24.66,   24.04,   22.48,   19.19,   17.72,   17.66,   19.76,   21.91,   23.92,   24.70,   25.26,   22.19
-22.75,-50.25,WS10M,    2.74,    2.53,    2.69,    2.80,    2.86,    2.91,    3.28,    3.52,    3.86,    3.55,    3.38,    2.96,    3.09
-22.75,-49.75,T2M,   24.59,   24.40,   23.71,   22.08,   18.80,   17.38,   17.28,   19.27,   21.33,   23.39,   24.18,   24.79,   21.77
-22.75,-49.75,WS10M,    2.28,    2.13,    2.24,    2.30,    2.34,    2.40,    2.71,    2.91,    3.20,    2.96,    2.82,    2.48,    2.56
-22.75,-49.25,T2M,   24.18,   24.07,   23.35,   21.65,   18.39,   16.99,   16.85,   18.71,   20.66,   22.76,   23.57,   24.25,   21.28
-22.75,-49.25,WS10M,    1.88,    1.77,    1.85,    1.88,    1.90,    1.95,    2.20,    2.38,    2.62,    2.43,    2.31,    2.04,    2.10
-22.75,-48.75,T2M,   23.73,   23.66,   22.92,   21.20,   17.96,   16.54,   16.39,   18.18,   20.09,   22.23,   23.04,   23.73,   20.81
-22.75,-48.75,WS10M,    1.84,    1.73,    1.80,    1.83,    1.82,    1.84,    2.07,    2.25,    2.53,    2.39,    2.28,    2.01,    2.03
-22.75,-48.25,T2M,   23.96,   23.88,   23.12,   21.46,   18.33,   16.93,   16.78,   18.53,   20.40,   22.52,   23.29,   23.95,   21.10
-22.75,-48.25,WS10M,    2.24,    2.07,    2.16,    2.19,    2.18,    2.16,    2.44,    2.62,    3.00,    2.87,    2.78,    2.46,    2.43
-22.75,-47.75,T2M,   23.83,   23.74,   22.98,   21.41,   18.42,   17.09,   17.01,   18.81,   20.71,   22.73,   23.37,   23.89,   21.17
-22.75,-47.75,WS10M,    2.71,    2.47,    2.56,    2.62,    2.65,    2.65,    2.97,    3.16,    3.61,    3.45,    3.35,    2.98,    2.93
-22.75,-47.25,T2M,   23.36,   23.28,   22.54,   21.02,   18.13,   16.87,   16.84,   18.67,   20.57,   22.46,   22.96,   23.39,   20.84
-22.75,-47.25,WS10M,    2.92,    2.66,    2.74,    2.81,    2.86,    2.88,    3.21,    3.40,    3.86,    3.69,    3.59,    3.21,    3.15
-22.75,-46.75,T2M,   22.53,   22.51,   21.79,   20.28,   17.41,   16.17,   16.11,   17.87,   19.72,   21.51,   21.95,   22.43,   20.02
-22.75,-46.75,WS10M,    2.73,    2.50,    2.56,    2.62,    2.66,    2.70,    2.98,    3.16,    3.55,    3.40,    3.31,    2.99,    2.93
