"presenca" "lat" "lon" "class" "especie" "area" "Incidencia" "Total_erradicadas" "total_plantas"
"1" "Present" -19.10686 -48.53906 "Large" "Sweet orange" 221.3 8.03 8968 111698
"2" "Absent" -19.02092 -49.0143 "Mini" "Sweet orange" 3.5 0 0 1500
"3" "Absent" -19.01961 -49.0046 "Small" "Mandarins" 14 0 0 5000
"4" "Absent" -19.01283 -48.9612 "Small" "Sweet orange" 29.1 0 0 10400
"5" "Absent" -19.01011 -48.9459 "Mini" "Sweet orange" 9 0 0 3000
"6" "Absent" -18.97961 -49.0236 "Mini" "Sweet orange" 4 0 0 1850
"7" "Absent" -18.97111 -48.83694 "Small" "Sweet orange" 40 0 0 20000
"8" "Absent" -18.9603 -48.71972 "Large" "Sweet orange" 498.48 0 0 294365
"9" "Absent" -18.93647 -48.7904 "Medium" "Sweet orange" 54.5 0 0 19000
"10" "Absent" -18.92411 -49.0713 "Mini" "Acid lime" 7.8 0 0 2730
"11" "Absent" -18.9225 -48.9622 "Large" "Sweet orange" 867.46 0 0 578321
"12" "Absent" -18.88781 -48.9645 "Mini" "Sweet orange" 1.5 0 0 600
"13" "Absent" -18.88703 -49.0053 "Small" "Sweet orange" 50 0 0 23500
"14" "Absent" -18.88617 -48.9654 "Small" "Sweet orange" 14.11 0 0 7235
"15" "Absent" -18.88147 -49.0713 "Medium" "Sweet orange" 73.4 0 0 34900
"16" "Absent" -18.8794 -49.0056 "Small" "Sweet orange" 27.3 0 0 13000
"17" "Absent" -18.8794 -49.0056 "Small" "Sweet orange" 10.5 0 0 5000
"18" "Absent" -18.87733 -48.9998 "Small" "Sweet orange" 15.9 0 0 5200
"19" "Absent" -18.8764 -48.9194 "Mini" "Sweet orange" 8.4 0 0 3000
"20" "Absent" -18.87581 -48.9024 "Mini" "Sweet orange" 5 0 0 3900
"21" "Absent" -18.87539 -49.1148 "Mini" "Sweet orange" 0.65 0 0 300
"22" "Absent" -18.86753 -48.9998 "Small" "Sweet orange" 30.2 0 0 12200
"23" "Absent" -18.8675 -48.9997 "Small" "Sweet orange" 12.6 0 0 6000
"24" "Absent" -18.84769 -49.0906 "Mini" "Sweet orange" 2.1 0 0 570
"25" "Absent" -18.81992 -49.0059 "Small" "Sweet orange" 12 0 0 6040
"26" "Absent" -18.81992 -49.0856 "Mini" "Sweet orange" 1.1 0 0 500
"27" "Absent" -18.80389 -49.0721 "Mini" "Sweet orange" 2 0 0 1100
"28" "Absent" -18.77336 -48.9551 "Mini" "Sweet orange" 3.96 0 0 2200
"29" "Absent" -18.76211 -48.9573 "Medium" "Sweet orange" 60.82 0 0 33100
"30" "Absent" -18.74086 -49.0523 "Mini" "Mandarins" 2.62 0 0 1000
"31" "Absent" -19.73028 -49.69888 "Small" "Mandarins" 20 0 0 7000
"32" "Absent" -19.67167 -49.80333 "Medium" "Sweet orange" 75 0 0 52930
"33" "Present" -19.9983 -46.5592 "Medium" "Sweet orange" 150 0.05 60 132329
"34" "Present" -19.9889 -46.55917 "Medium" "Sweet orange" 150 0.03 40 132384
"35" "Present" -19.9758 -46.515 "Medium" "Sweet orange" 111.07 0.03 29 95940
"36" "Present" -19.9803 -46.515 "Medium" "Sweet orange" 111.07 0.05 51 95893
"37" "Present" -19.95469 -46.355 "Mini" "Mandarins" 7.2 0.41 12 2928
"38" "Absent" -20.0453 -46.355 "Mini" "Mandarins" 7.2 0 0 2928
"39" "Absent" -19.9172 -46.33167 "Medium" "Sweet orange" 113.96 0 0 47736
"40" "Absent" -20.88387 -47.00488 "Large" "Sweet orange" 498 0 0 266979
"41" "Absent" -19.58933 -48.19417 "Large" "Sweet orange" 500 0 0 282228
"42" "Present" -20.87594 -47.2201 "Large" "Sweet orange" 681.1 4.97 20972 422379
"43" "Present" -20.90561 -47.1911 "Medium" "Sweet orange" 149.7 7.19 5641 78461
"44" "Present" -20.9475 -46.9356 "Large" "Sweet orange" 457 6.67 16069 240784
"45" "Present" -20.91744 -46.9333 "Medium" "Sweet orange" 80.4 1.79 674 37755
"46" "Present" -20.91483 -46.9324 "Medium" "Sweet orange" 80.4 7.49 2994 39974
"47" "Absent" -18.78528 -48.3075 "Mini" "Sweet orange" 1.8 0 0 163
"48" "Absent" -19.89361 -48.536 "Mini" "Mandarins" 0.9 0 0 224
"49" "Present" -19.31472 -48.3694 "Large" "Sweet orange" 2611.25 0.01 202 1359386
"50" "Absent" -19.20314 -48.3411 "Mini" "Acid lime" 0.6 0 0 119
"51" "Absent" -19.1819 -48.73278 "Mini" "Acid lime" 2 0 0 710
"52" "Absent" -19.11406 -48.3904 "Small" "Sweet orange" 45 0 0 8000
"53" "Absent" -19.09034 -48.6329 "Large" "Sweet orange" 609.1 0 9 351670
"54" "Absent" -19.08278 -48.5835 "Mini" "Acid lime" 0.78 0 0 162
"55" "Absent" -19.01103 -48.3616 "Mini" "Acid lime" 2 0 0 250
"56" "Absent" -18.90539 -48.3416 "Mini" "Acid lime" 0.3 0 0 60
"57" "Absent" -18.89669 -48.1841 "Mini" "Sweet orange" 3 0 0 5000
"58" "Absent" -18.87808 -48.1949 "Mini" "Acid lime" 0.7 0 0 92
"59" "Absent" -18.83328 -48.1314 "Mini" "Acid lime" 1 0 0 200
"60" "Absent" -18.83286 -48.1102 "Mini" "Mandarins" 0.53 0 0 130
"61" "Absent" -18.80808 -48.3803 "Mini" "Acid lime" 0.8 0 0 136
"62" "Absent" -18.78 -48.42 "Mini" "Acid lime" 1.94 0 0 447
"63" "Absent" -18.754 -48.31241 "Mini" "Mandarins" 5.3 0 0 510
"64" "Absent" -18.75226 -48.29933 "Mini" "Acid lime" 1 0 0 180
"65" "Absent" -18.75158 -48.3125 "Mini" "Acid lime" 5.62 0 0 2100
"66" "Absent" -18.74872 -48.3084 "Mini" "Acid lime" 2.75 0 0 250
"67" "Absent" -18.70572 -48.3936 "Mini" "Sweet orange" 4 0 0 428
"68" "Present" -20.89514 -47.2048 "Small" "Mandarins" 50 2.56 813 31711
"69" "Present" -20.51514 -47.1652 "Medium" "Sweet orange" 152.19 4.5 3581 79514
"70" "Present" -20.46278 -47.1628 "Medium" "Sweet orange" 65 1.63 760 46615
"71" "Present" -20.47203 -47.1542 "Medium" "Sweet orange" 62.59 4.96 1797 36209
"72" "Absent" -20.47203 -47.1542 "Medium" "Mandarins" 85 0 0 34636
"73" "Present" -20.41914 -47.1342 "Small" "Mandarins" 16.26 4.16 431 10352
"74" "Present" -20.47583 -47.1328 "Medium" "Sweet orange" 72.25 7.92 5147 64947
"75" "Present" -20.48694 -47.0433 "Small" "Mandarins" 12 9.71 784 8074
"76" "Absent" -20.33611 -46.9035 "Mini" "Sweet orange" 4.7 0 0 2100
"77" "Absent" -20.32333 -46.8457 "Small" "Sweet orange" 13.6 0 0 6000
"78" "Absent" -20.37231 -46.77555 "Small" "Sweet orange" 45 0 0 20000
"79" "Absent" -21.81203 -45.4851 "Mini" "Mandarins" 4 0 0 2000
"80" "Absent" -20.38189 -44.0877 "Small" "Mandarins" 22 0 0 11000
"81" "Absent" -19.9981 -45.8575 "Medium" "Sweet orange" 74.3 0 0 32500
"82" "Absent" -19.79681 -45.35556 "Mini" "Mandarins" 9 0 0 9000
"83" "Absent" -20.19 -45.0967 "Small" "Mandarins" 12 0 0 6000
"84" "Absent" -19.81803 -45.085 "Small" "Mandarins" 15 0 0 7500
"85" "Absent" -20.2936 -45.075 "Small" "Mandarins" 40 0 0 23111
"86" "Absent" -20.2992 -45.0514 "Small" "Mandarins" 18.86 0 0 20477
"87" "Absent" -19.72697 -45.02583 "Mini" "Mandarins" 8 0 0 4000
"88" "Absent" -19.75686 -44.86833 "Mini" "Mandarins" 3 0 0 1500
"89" "Absent" -19.77981 -44.17889 "Mini" "Mandarins" 5.21 0 0 2600
"90" "Absent" -19.77292 -44.16111 "Mini" "Mandarins" 6.25 0 0 4500
"91" "Absent" -19.77725 -44.15722 "Mini" "Mandarins" 6.7 0 0 3350
"92" "Absent" -19.80447 -44.15639 "Small" "Mandarins" 13 0 0 6500
"93" "Absent" -20.1978 -44.1556 "Mini" "Mandarins" 6 0 0 3000
