"LON" "LAT" "PARAMETER" "JAN" "FEB" "MAR" "APR" "MAY" "JUN" "JUL" "AUG" "SEP" "OCT" "NOV" "DEC" "ANN"
"1" -49.59999 -18.69999 "T2M" 24.9 24.85 24.56 23.84 21.77 20.99 21.56 23.99 26.48 27.36 26.3 25.3 24.33
"2" -49.59999 -18.69999 "PRECTOT" 8.06 6.72 5.83 2.44 1.05 0.54 0.23 0.52 1.85 3.42 5.74 7.41 3.65
"3" -49.59999 -18.69999 "WS10M" 2.69 2.44 2.49 2.71 2.93 3.19 3.69 3.97 3.9 3.29 2.91 2.84 3.09
"4" -49.19999 -18.69999 "T2M" 24.32 24.31 24.01 23.26 21.13 20.15 20.64 22.93 25.56 26.51 25.53 24.65 23.58
"5" -49.19999 -18.69999 "PRECTOT" 8.14 6.75 5.9 2.46 1.05 0.49 0.22 0.53 1.58 3.19 5.49 7.66 3.62
"6" -49.19999 -18.69999 "WS10M" 2.87 2.61 2.67 2.9 3.08 3.41 3.93 4.22 4.13 3.48 3.08 2.98 3.28
"7" -48.79999 -18.69999 "T2M" 23.74 23.76 23.43 22.59 20.38 19.13 19.35 21.37 24.08 25.25 24.52 23.94 22.63
"8" -48.79999 -18.69999 "PRECTOT" 8.23 6.86 5.99 2.54 1.08 0.49 0.22 0.54 1.58 3.23 5.51 7.79 3.67
"9" -48.79999 -18.69999 "WS10M" 3.11 2.84 2.89 3.07 3.19 3.46 3.93 4.19 4.13 3.59 3.26 3.17 3.4
"10" -48.39999 -18.69999 "T2M" 23.32 23.34 23.01 22.13 19.95 18.6 18.77 20.69 23.41 24.59 23.91 23.46 22.1
"11" -48.39999 -18.69999 "PRECTOT" 8.55 6.94 6.31 2.53 1.17 0.44 0.24 0.54 1.62 3.49 5.83 8.42 3.84
"12" -48.39999 -18.69999 "WS10M" 3.09 2.84 2.9 3.07 3.14 3.38 3.82 4.06 4.01 3.53 3.22 3.13 3.35
"13" -47.99999 -18.69999 "T2M" 22.88 22.87 22.53 21.62 19.5 18.1 18.25 20.14 22.88 24.06 23.39 23 21.6
"14" -47.99999 -18.69999 "PRECTOT" 8.6 6.95 6.4 2.51 1.19 0.42 0.25 0.54 1.63 3.59 5.98 8.64 3.89
"15" -47.99999 -18.69999 "WS10M" 3.14 2.9 2.97 3.09 3.13 3.33 3.74 3.96 3.97 3.55 3.29 3.19 3.36
"16" -50.39999 -19.09999 "T2M" 25.28 25.11 24.81 23.95 21.63 20.9 21.41 23.95 26.41 27.58 26.76 25.81 24.47
"17" -50.39999 -19.09999 "PRECTOT" 8.54 6.9 5.72 2.39 1.2 0.63 0.31 0.55 2.1 3.39 5.46 7.33 3.71
"18" -50.39999 -19.09999 "WS10M" 2.66 2.42 2.46 2.66 2.84 3.04 3.54 3.77 3.8 3.26 2.95 2.82 3.02
"19" -49.99999 -19.09999 "T2M" 24.86 24.75 24.42 23.56 21.18 20.3 20.75 23.17 25.79 26.98 26.17 25.29 23.93
"20" -49.99999 -19.09999 "PRECTOT" 8.57 6.99 5.74 2.46 1.17 0.59 0.3 0.55 1.9 3.3 5.45 7.43 3.71
"21" -49.99999 -19.09999 "WS10M" 2.77 2.51 2.56 2.74 2.93 3.18 3.66 3.9 3.92 3.36 3.04 2.92 3.12
"22" -49.59999 -19.09999 "T2M" 24.86 24.75 24.42 23.56 21.18 20.3 20.75 23.17 25.79 26.98 26.17 25.29 23.93
"23" -49.59999 -19.09999 "PRECTOT" 8.57 6.99 5.74 2.46 1.17 0.59 0.3 0.55 1.9 3.3 5.45 7.43 3.71
"24" -49.59999 -19.09999 "WS10M" 2.77 2.51 2.56 2.74 2.93 3.18 3.66 3.9 3.92 3.36 3.04 2.92 3.12
"25" -49.19999 -19.09999 "T2M" 24.3 24.25 23.91 23.06 20.69 19.65 19.95 22.21 24.88 26.09 25.32 24.59 23.24
"26" -49.19999 -19.09999 "PRECTOT" 8.65 7.16 5.86 2.58 1.15 0.54 0.28 0.57 1.62 3.16 5.34 7.64 3.71
"27" -49.19999 -19.09999 "WS10M" 2.92 2.62 2.67 2.83 2.99 3.28 3.76 3.99 3.99 3.44 3.13 3.04 3.22
"28" -48.79999 -19.09999 "T2M" 23.69 23.68 23.32 22.44 20.1 18.94 19.1 21.2 23.86 25.12 24.44 23.88 22.48
"29" -48.79999 -19.09999 "PRECTOT" 8.75 7.28 5.96 2.64 1.17 0.53 0.28 0.57 1.59 3.21 5.38 7.75 3.76
"30" -48.79999 -19.09999 "WS10M" 3.11 2.78 2.82 2.95 3.06 3.35 3.81 4.04 4.03 3.54 3.26 3.19 3.33
